song,artist,peak_position,weeks_on_chart,date_of_charting
I'm Flexin',T.I. Featuring Big K.R.I.T.,66,1,10/22/2011
Pretty Girls,Iyaz Featuring Travie McCoy,43,14,10/22/2011
No Sleep,Wiz Khalifa,6,15,10/22/2011
Love Don't Run,Steve Holy,78,7,10/22/2011
You And Tequila,Kenny Chesney Featuring Grace Potter,33,20,10/22/2011
Fix You,Glee Cast,53,1,10/22/2011
Run The World (Girls),Glee Cast,91,1,10/22/2011
Hangover,Taio Cruz Featuring Flo Rida,62,1,10/22/2011
Dirt Road Anthem,Jason Aldean,7,27,10/22/2011
Papi,Jennifer Lopez,96,3,10/29/2011
Just Fishin',Trace Adkins,61,20,10/29/2011
Faster,Matt Nathanson,74,12,10/29/2011
Keep Your Head Up,Andy Grammer,53,20,10/29/2011
Lost In Paradise,Evanescence,99,1,10/29/2011
Still Got It,Tyga Featuring Drake,89,1,10/29/2011
Best Thing I Never Had,Beyonce,16,20,10/29/2011
Calling All The Monsters,China Anne McClain,86,2,10/29/2011
I Wanna Go,Britney Spears,7,20,11/5/2011
Got 2 Luv U,Sean Paul Featuring Alexis Jordan,84,6,11/5/2011
Remind Me,Brad Paisley Duet With Carrie Underwood,17,20,11/5/2011
I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",10,23,11/5/2011
The Edge Of Glory,Lady Gaga,3,24,11/5/2011
Quickie,Miguel,62,14,11/5/2011
Made In America,Toby Keith,40,20,11/5/2011
Skyscraper,Demi Lovato,10,15,11/5/2011
Focused,Wale Featuring Kid Cudi,97,1,11/5/2011
Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Featuring Usher,58,1,11/12/2011
Lessons In Love,Kaskade Featuring Neon Trees,94,1,11/12/2011
Dedication To My Ex (Miss That),Lloyd Featuring Andre 3000 & Lil Wayne,79,5,11/12/2011
Take Over Control,Afrojack Featuring Eva Simons,41,20,11/12/2011
Sweat,Bow Wow Featuring Lil Wayne,48,1,11/12/2011
How To Love,Lil Wayne,5,24,11/19/2011
Last Friday Night (T.G.I.F.),Katy Perry,1,24,11/19/2011
Ambition,Wale Featuring Meek Mill & Rick Ross,81,1,11/19/2011
Take A Back Road,Rodney Atkins,23,23,11/19/2011
Better With The Lights Off,New Boyz Feat. Chris Brown,38,19,11/19/2011
All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey,86,1,11/19/2011
Tonight Tonight,Hot Chelle Rae,7,30,11/19/2011
Mrs. Right,Mindless Behavior Featuring Diggy,72,10,11/19/2011
Last Friday Night,Glee Cast,72,1,11/19/2011
Lighters,Bad Meets Evil Featuring Bruno Mars,4,22,11/26/2011
Long Hot Summer,Keith Urban,45,18,11/26/2011
Haunted,Taylor Swift,63,2,11/26/2011
Here For A Good Time,George Strait,46,20,11/26/2011
Come Home,Faith Hill,82,1,11/26/2011
Uptown Girl,Glee Cast,68,1,11/26/2011
